trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
23,4,2227,1828,557,8,0.5565529622980251,0.4427480916030534,0.5345622119815668,0.4843423799582463,0.5616702476606867,0.5432502033071293,True,balanced,entropy,,0.7,0.9577631941493292,10,7,700,-1,73
23,5,2228,1818,556,17,0.5557553956834532,0.4347826086956521,0.4608294930875576,0.4474272930648769,0.5578730879150946,0.5695118469882957,True,balanced,entropy,,0.7,0.9577631941493292,10,7,700,-1,73
24,1,2227,1826,557,24,0.6499102333931778,0.5525114155251142,0.555045871559633,0.5537757437070938,0.6500522341164954,0.6919975102162323,True,balanced,entropy,,0.7,0.9847798657195844,9,12,700,-1,73
24,2,2227,1826,557,3,0.5888689407540395,0.4739130434782608,0.5023041474654378,0.4876957494407158,0.5908408320390068,0.5996137164543237,True,balanced,entropy,,0.7,0.9847798657195844,9,12,700,-1,73
24,3,2227,1802,557,15,0.5798922800718133,0.4622222222222222,0.4792626728110599,0.4705882352941176,0.5811935187001191,0.6005014909189482,True,balanced,entropy,,0.7,0.9847798657195844,9,12,700,-1,73
24,4,2227,1828,557,8,0.5439856373429084,0.4285714285714285,0.511520737327189,0.4663865546218487,0.5490940409076177,0.5476416373000814,True,balanced,entropy,,0.7,0.9847798657195844,9,12,700,-1,73
24,5,2228,1818,556,17,0.5737410071942446,0.4545454545454545,0.4608294930875576,0.4576659038901602,0.5742568965422628,0.5672280902083928,True,balanced,entropy,,0.7,0.9847798657195844,9,12,700,-1,73
25,1,2227,1826,557,24,0.6642728904847397,0.5741626794258373,0.5504587155963303,0.5620608899297423,0.6629338686434078,0.6857865822305216,True,balanced,entropy,,log2,0.9879331117564756,4,12,700,-1,73
25,2,2227,1826,557,3,0.578096947935368,0.4608695652173913,0.488479262672811,0.4742729306487696,0.5801205044941772,0.598116020601789,True,balanced,entropy,,log2,0.9879331117564756,4,12,700,-1,73
25,3,2227,1802,557,15,0.5727109515260324,0.4502369668246445,0.4377880184331797,0.4439252336448598,0.5715845458302786,0.5988343724586609,True,balanced,entropy,,log2,0.9879331117564756,4,12,700,-1,73
25,4,2227,1828,557,8,0.5493716337522442,0.4285714285714285,0.4700460829493088,0.4483516483516483,0.5525907835146304,0.5491325562483058,True,balanced,entropy,,log2,0.9879331117564756,4,12,700,-1,73
25,5,2228,1818,556,17,0.5881294964028777,0.4684210526315789,0.4101382488479262,0.4373464373464373,0.5823548260560353,0.5699196606989927,True,balanced,entropy,,log2,0.9879331117564756,4,12,700,-1,73
26,1,2227,1826,557,24,0.6678635547576302,0.746268656716418,0.2293577981651376,0.3508771929824561,0.6101253875344079,0.6929853048631971,True,,entropy,,0.5,0.9087721849434484,9,19,900,-1,73
26,2,2227,1826,557,3,0.6104129263913824,0.0,0.0,0.0,0.4627433555698328,0.5934331797235023,True,,entropy,,0.5,0.9087721849434484,9,19,900,-1,73
